Interface               , Attribute/Method
Event                   , *&&&type
                        , target
                        , currentTarget
                        , NONE
                        , CAPTURING_PHASE
                        , AT_TARGET
                        , BUBBLING_PHASE
                        , eventPhase
                        , stopPropagation
                        , stopImmediatePropagation
                        , bubbles
                        , cancelable
                        , preventDefault
                        , defaultPrevented
                        , timeStamp
                        , EventInit::bubbles
                        , EventInit::cancelable
EventTarget             , addEventListener
                        , removeEventListener
                        , dispatchEvent
NonElementParentNode    , getElementById
ParentNode              , children
                        , firstElementChild
                        , lastElementChild
                        , childElementCount
NonDocumentTypeChildNode, previousElementSibling
                        , nextElementSibling
ChildNode               , *&&&remove
NodeList                , NodeList&&&item
                        , NodeList&&&length
HTMLCollection          , HTMLCollection&&&length
                        , HTMLCollection&&&item
                        , namedItem
Node                    , nodeType
                        , nodeName
                        , parentNode
                        , hasChildNodes
                        , childNodes
                        , firstChild
                        , lastChild
                        , previousSibling
                        , nextSibling
                        , nodeValue
                        , textContent
                        , cloneNode
                        , isEqualNode
                        , compareDocumentPosition
                        , *&&&contains
                        , insertBefore
                        , appendChild
                        , replaceChild
                        , removeChild
Document                , compatMode
                        , characterSet
                        , contentType
                        , doctype
                        , documentElement
                        , HTMLDocument&&&getElementsByTagName
                        , HTMLDocument&&&getElementsByClassName
                        , createElement
                        , createTextNode
                        , createComment
DocumentType            , DocumentType&&&name
                        , localName
                        , tagName
                        , id
                        , className
                        , classList
                        , attributes
                        , getAttribute
                        , setAttribute
                        , removeAttribute
                        , hasAttribute
                        , *&&&getElementsByTagName
                        , *&&&getElementsByClassName
Attr                    , Attr&&&name
                        , value
                        , specified
CharacterData           , data
                        , *&&&length
                        , wholeText
Comment                 ,
DOMTokenList            , DOMTokenList&&&length
                        , DOMTokenList&&&item
                        , DOMTokenList&&&contains
                        , add
                        , DOMTokenList&&&remove
                        , toggle
HTML5                   , window
                        , document
                        , setTimeout
                        , clearTimeout
                        , setInterval
                        , clearInterval
CSSOM                   , innerHeight
                        , innerWidth
Page Visibility         , hidden
                        , visibilityState
Animation               , requestAnimationFrame
                        , cancelAnimationFrame
XMLHttpRequestEventTarget, onloadstart
                         , onprogress
                         , onabort
                         , onerror
                         , onload
                         , ontimeout
                         , onloadend
XMLHttpRequest           , onreadyStatechange
                         , readyState
                         , Open
                         , Timeout
                         , send
                         , abort
                         , status
                         , responseText
ProgressEvent            , ProgressEvent&&&type
ProgressEventInit        , ProgressEventInit&&&type
Other                    , Array&&&length
                         , Object&&&length
