Category        , Item
Global Attr     , class
                , dir
                , id
                , *&&&style
                , onclick
                , onload
Scripting       , onunload
Doctype         , !DOCTYPE
Element         , html
                , head
                , link
                , meta
                , Element&&&style
                , body
                , p
                , div
                , span
                , br
                , img
                , script
